Name,Sector,Code,Market,Number,Mktcap,Share_count,EPS,PERatio,ROE
MHC PLANTATIONS BHD,PLANTATION ,MHC (5026),MAIN,5026,115.96m,196.54m,1.29 *,45.74,1.02
NPC RESOURCES BERHAD,PLANTATION ,NPC (5047),MAIN,5047,228.00m,120.00m,-38.61 *,-,-17.47
NEGRI SEMBILAN OIL PALMS BERHAD,PLANTATION ,NSOP (2038),MAIN,2038,245.00m,70.20m,13.61 *,25.64,1.74
PINEHILL PACIFIC BERHAD,PLANTATION ,PINEPAC (1902),MAIN,1902,46.44m,149.80m,-21.29 *,-,-45.3
PLS PLANTATIONS BERHAD,PLANTATION ,PLS (9695),MAIN,9695,322.64m,350.70m,-4.21 *,-,-7.61
RIMBUNAN SAWIT BERHAD,PLANTATION ,RSAWIT (5113),MAIN,5113,262.42m,1.418b,-9.98 *,-,-33.27
RIVERVIEW RUBBER ESTATES BERHAD,PLANTATION ,RVIEW (2542),MAIN,2542,190.66m,64.85m,4.02 *,73.13,0.98
SUNGEI BAGAN RUBBER COMPANY (MALAYA) BERHAD,PLANTATION ,SBAGAN (2569),MAIN,2569,192.36m,66.33m,-12.25 *,-,-1.36
SIN HENG CHAN (MALAYA) BERHAD,PLANTATION ,SHCHAN (4316),MAIN,4316,40.88m,131.87m,-5.75 *,-,-13.37
SIME DARBY PLANTATION BERHAD,PLANTATION ,SIMEPLT (5285),MAIN,5285,33.252b,6.885b,-,-,-
SARAWAK OIL PALMS BERHAD,PLANTATION ,SOP (5126),MAIN,5126,1.302b,570.87m,7.63 *,29.88,2.02
SARAWAK PLANTATION BERHAD,PLANTATION ,SWKPLNT (5135),MAIN,5135,462.00m,280.00m,6.28 *,26.27,3.19
TA ANN HOLDINGS BERHAD,PLANTATION ,TAANN (5012),MAIN,5012,1.001b,444.84m,18.44 *,12.2,5.84
TDM BERHAD,PLANTATION ,TDM (2054),MAIN,2054,319.70m,1.683b,-4.66 *,-,-8.32
TH PLANTATIONS BERHAD,PLANTATION ,THPLANT (5112),MAIN,5112,446.34m,883.85m,-68.56 *,-,-81.62
TSH RESOURCES BERHAD,PLANTATION ,TSH (9059),MAIN,9059,1.244b,1.382b,2.59 *,34.75,2.6
UNITED MALACCA BERHAD,PLANTATION ,UMCCA (2593),MAIN,2593,1.101b,209.69m,-19.92 *,-,-2.85
UNITED PLANTATIONS BERHAD,PLANTATION ,UTDPLT (2089),MAIN,2089,5.516b,208.13m,-,-,-
ACME HOLDINGS BERHAD,PROPERTY ,ACME (7131),MAIN,7131,54.91m,238.76m,3.97 *,5.79,0.12
AMCORP PROPERTIES BERHAD,PROPERTY ,AMPROP (1007),MAIN,1007,335.61m,610.21m,4.00 *,13.75,2.58
AMVERTON BERHAD,PROPERTY ,AMVERTON (5959),MAIN,5959,397.92m,365.06m,19.93 *,5.47,10.17
ARK RESOURCES HOLDINGS BERHAD,PROPERTY ,ARK (7007),MAIN,7007,13.63m,48.67m,-6.17 *,-,-20.57
ASIAN PAC HOLDINGS BERHAD,PROPERTY ,ASIAPAC (4057),MAIN,4057,140.01m,1.037b,5.08 *,2.66,5.03
AYER HOLDINGS BERHAD,PROPERTY ,AYER (2305),MAIN,2305,344.32m,74.85m,27.79 *,16.55,4.03
BCB BERHAD,PROPERTY ,BCB (6602),MAIN,6602,96.94m,412.50m,8.32 *,2.82,6.99
BINA DARULAMAN BERHAD,PROPERTY ,BDB (6173),MAIN,6173,113.95m,303.85m,-12.26 *,-,-8.23
