Code,Price,High,Low,Volume,TimeStamp
MKH (6114),1.230,1.220 ,1.230,0.1301,2019-07-18 18:37:02.666720
MKLAND (8893),0.185,0.180 ,0.185,0.4903,2019-07-18 18:37:04.007455
MPCORP (6548),0.045,0.000 ,0.000,0.0,2019-07-18 18:37:05.288655
MRCB (1651),0.940,0.940 ,0.955,2.9224,2019-07-18 18:37:06.632097
MUH (9539),0.540,0.000 ,0.000,0.0,2019-07-18 18:37:07.982986
MUIPROP (3913),0.205,0.200 ,0.205,0.0803,2019-07-18 18:37:09.261837
NAIM (5073),0.885,0.885 ,0.920,2.7211,2019-07-18 18:37:10.676330
OIB (5827),2.000,0.000 ,0.000,0.0,2019-07-18 18:37:12.270597
OSK (5053),0.940,0.940 ,0.950,0.7341,2019-07-18 18:37:13.652047
PARAMON (1724),2.360,2.350 ,2.410,0.4137,2019-07-18 18:37:14.988684
PASDEC (6912),0.380,0.375 ,0.380,0.305,2019-07-18 18:37:16.414611
PHB (4464),0.010,0.005 ,0.010,2.2951,2019-07-18 18:37:17.746088
PLB (7055),1.150,1.100 ,1.150,0.0045,2019-07-18 18:37:19.026691
PLENITU (5075),1.420,1.420 ,1.420,0.01,2019-07-18 18:37:20.353874
RAPID (7765),5.770,5.700 ,5.820,0.6562,2019-07-18 18:37:21.701589
SAPRES (4596),0.665,0.000 ,0.000,0.0,2019-07-18 18:37:23.350034
SBCCORP (5207),0.480,0.470 ,0.480,0.021,2019-07-18 18:37:24.707155
SDRED (2224),0.670,0.665 ,0.670,0.023,2019-07-18 18:37:26.091034
SEAL (4286),0.320,0.000 ,0.000,0.0,2019-07-18 18:37:27.417368
SHL (6017),2.350,0.000 ,0.000,0.0,2019-07-18 18:37:28.754149
SIMEPROP (5288),0.995,0.995 ,1.020,1.6626,2019-07-18 18:37:30.115966
SMI (4375),0.155,0.155 ,0.155,0.005,2019-07-18 18:37:31.450899
SNTORIA (5213),0.200,0.195 ,0.200,1.3204,2019-07-18 18:37:32.722802
SPSETIA (8664),2.050,2.050 ,2.060,0.6398,2019-07-18 18:37:34.013521
SUNSURIA (3743),0.715,0.000 ,0.000,0.0,2019-07-18 18:37:35.321297
SYMLIFE (1538),0.405,0.405 ,0.405,0.0059,2019-07-18 18:37:36.593466
TADMAX (4022),0.270,0.265 ,0.270,0.8052,2019-07-18 18:37:37.885388
TAGB (5158),0.250,0.245 ,0.250,0.1124,2019-07-18 18:37:39.169576
TALAMT (2259),0.040,0.040 ,0.040,1.3148,2019-07-18 18:37:40.474537
TAMBUN (5191),0.775,0.775 ,0.780,0.1344,2019-07-18 18:37:41.778387
TANCO (2429),0.045,0.045 ,0.050,0.057,2019-07-18 18:37:43.080932
THRIVEN (7889),0.225,0.225 ,0.230,0.5817,2019-07-18 18:37:44.396812
TIGER (7079),0.050,0.045 ,0.050,0.325,2019-07-18 18:37:45.795434
TITIJYA (5239),0.295,0.290 ,0.295,0.543,2019-07-18 18:37:47.086685
TROP (5401),0.875,0.855 ,0.875,0.5569,2019-07-18 18:37:49.128024
UEMS (5148),0.805,0.795 ,0.810,1.6157,2019-07-18 18:37:50.591854
UOADEV (5200),2.230,2.210 ,2.230,0.7857,2019-07-18 18:37:51.943596
WMG (6378),0.095,0.000 ,0.000,0.0,2019-07-18 18:37:53.437390
Y&G (7003),0.995,0.000 ,0.000,0.0,2019-07-18 18:37:54.800931
YNHPROP (3158),2.680,2.670 ,2.700,2.9737,2019-07-18 18:37:56.079212
YONGTAI (7066),0.305,0.300 ,0.310,3.6296,2019-07-18 18:37:57.415680
YTLLAND (2577),0.330,0.330 ,0.335,0.5816,2019-07-18 18:37:58.721694
AIRPORT (5014),8.560,8.540 ,8.630,4.7951,2019-07-18 18:38:00.025924
ANCOMLB (0048),0.075,0.075 ,0.075,0.05,2019-07-18 18:38:01.544618
BHIC (8133),1.260,0.000 ,0.000,0.0,2019-07-18 18:38:02.863331
BIPORT (5032),4.420,4.400 ,4.500,0.0593,2019-07-18 18:38:04.190215
CHGP (7187),0.305,0.300 ,0.305,0.551,2019-07-18 18:38:05.674840
CJCEN (7117),0.455,0.450 ,0.455,0.4022,2019-07-18 18:38:06.967572
COMPLET (5136),0.810,0.800 ,0.820,0.1253,2019-07-18 18:38:08.325976
